,Название,Сайт,status,Адрес,площадь объекта,coords,longitude,latitude,rating,Класс:
951, Особняк на 1-м Колобовском,https://www.arendator.ru/objects/10824-na_1-m_kolobovskom-1/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Колобовский 1-й переулок 19 стр1",411.0,"[55.768649, 37.6185677]",37.6185677,55.768649,50.0,
952, БЦ Правда 24,https://www.arendator.ru/objects/30226-pravda_24/,torg_office_cntr,"г. Москва, САО, Беговой, Правды улица 24с4",,"[55.7888524, 37.5830443]",37.5830443,55.7888524,50.0,C
953, Деловой центр Авиатор,https://www.arendator.ru/objects/50212-aviator-6/,torg_office_cntr,"г. Москва, САО, Хорошевский, Ленинградский проспект 37к3",10097.0,"[55.7942143, 37.5435953]",37.5435953,55.7942143,50.0,C
954, БЦ ЦКБ-Связь,https://www.arendator.ru/objects/9420-ckb-svyaz/,torg_office_cntr,"г. Москва, СЗАО, Хорошево-Мневники, Народного Ополчения улица 34",10000.0,"[55.781474, 37.481488]",37.481488,55.781474,50.0,B+
955, БЦ Строганов,https://www.arendator.ru/objects/33739-stroganov/,torg_office_cntr,"г. Москва, ЦАО, Хамовники, Тимура Фрунзе улица 11с44",14345.0,"[55.735054, 37.5856286]",37.5856286,55.735054,50.0,B
956, БЦ Тверской,https://www.arendator.ru/objects/30208-tverskoj/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Тверская улица 16с3",4377.0,"[55.76464, 37.6061603]",37.6061603,55.76464,50.0,B
957, Коворкинг Yellow Door,https://www.arendator.ru/objects/32787-yellow_door/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Страстной бульвар 12/1",,"[55.7671006, 37.6118665]",37.6118665,55.7671006,50.0,
958, БЦ Легион-III,https://www.arendator.ru/objects/9399-legion-iii/,torg_office_cntr,"г. Москва, ЗАО, Дорогомилово, Киевская улица 7",100000.0,"[55.742002, 37.5588587]",37.5588587,55.742002,50.0,A
959, Торгово-офисный центр McDonald,https://www.arendator.ru/objects/7457-mcdonald/,torg_office_cntr,"г. Москва, ЦАО, Якиманка, Ордынка Б. улица 21 стр.2",1762.0,"[55.7410256, 37.6252415]",37.6252415,55.7410256,50.0,A
960, БЦ Садовническая 75,https://www.arendator.ru/objects/7374-sadovnicheskaya_75/,torg_office_cntr,"г. Москва, ЦАО, Замоскворечье, Садовническая улица 75",8555.0,"[55.7358505, 37.6436843]",37.6436843,55.7358505,50.0,A
961, Технопарк Рикор,https://www.arendator.ru/objects/32470-rikor/,torg_office_cntr,"г. Москва, ЦАО, Таганский, Костомаровский переулок 3",17000.0,"[55.7516894, 37.6652936]",37.6652936,55.7516894,50.0,
962, БЦ Белая Площадь ( White Square ),https://www.arendator.ru/objects/9123-belaya_plocshad__white_square_/,torg_office_cntr,"г. Москва, ЦАО, Тверской, Лесная улица 5",76141.0,"[55.77822, 37.586865]",37.586865,55.77822,50.0,A
963, Технопарк Строгино,https://www.arendator.ru/objects/32462-strogino/,torg_office_cntr,"г. Москва, СЗАО, Строгино, Твардовского улица 8с1",17000.0,"[55.7990694, 37.3909527]",37.3909527,55.7990694,50.0,
964, Технопарк ТехноСпарк,https://www.arendator.ru/objects/32478-tehnospark/,torg_office_cntr,"ТАО (г. Москва), ТАО, Промышленная улица 2А",13000.0,"[55.452507, 37.275021]",37.275021,55.452507,50.0,
965, БЦ Бауманский,https://www.arendator.ru/objects/8217-baumanskij-1/,torg_office_cntr,"г. Москва, ЦАО, Басманный, Фридриха Энгельса улица 58",5700.0,"[55.77695900000001, 37.6926359]",37.6926359,55.77695900000001,50.0,C
