,name,link,status,adress,square,coords,longitude,latitude,Класс:,rating
1287,[' Офисное здание Щипок 22'],https://www.arendator.ru/objects/7554-cshipok_22/,torg_office_cntr,"['г. Москва, ЦАО, Замоскворечье, Щипок улица 22']",2420.0,"[55.723686, 37.6344448]",37.6344448,55.723686,C,50.0
1288,[' БЦ Новинский'],https://www.arendator.ru/objects/8884-novinskij/,torg_office_cntr,"['г. Москва, Новинский переулок 3 стр.1']",7000.0,"[55.7510497, 37.5822337]",37.5822337,55.7510497,B+,50.0
1289,[' БЦ Северная Башня'],https://www.arendator.ru/objects/21486-severnaya_bashnya/,torg_office_cntr,"['г. Москва, ЦАО, Пресненский, Тестовская улица 10']",135000.0,"[55.7517513, 37.5325493]",37.5325493,55.7517513,A,50.0
1290,[' Офисное здание на 1-й Рыбинской'],https://www.arendator.ru/objects/8343-na_1-j_rybinskoj/,torg_office_cntr,"['г. Москва, ВАО, Сокольники, Рыбинская 1-я улица 13/2']",10300.0,"[55.7890615, 37.6596725]",37.6596725,55.7890615,C,50.0
1291,[' Торгово-офисный центр Савеловград'],https://www.arendator.ru/objects/9625-savelovgrad/,torg_office_cntr,"['г. Москва, СВАО, Марьина роща, Складочная улица 1 корп 15']",7400.0,"[55.8042928, 37.6062733]",37.6062733,55.8042928,,50.0
1292,[' БЦ на Большой Полянке 54'],https://www.arendator.ru/objects/7464-na_bolshoj_polyanke_54/,torg_office_cntr,"['г. Москва, ЦАО, Якиманка, Полянка Б. улица 54']",5488.0,"[55.731094, 37.6211959]",37.6211959,55.731094,B,50.0
1293,[' Торгово-офисный центр Tobtim'],https://www.arendator.ru/objects/7184-tobtim/,torg_office_cntr,"['г. Москва, ЦАО, Замоскворечье, Овчинниковский Ср. переулок 8-10']",17500.0,"[55.74477899999999, 37.6303591]",37.6303591,55.74477899999999,A,50.0
1294,[' Офисное здание на Розанова 10'],https://www.arendator.ru/objects/7256-na_rozanova_10/,torg_office_cntr,"['г. Москва, САО, Хорошевский, Розанова улица 10']",3500.0,"[55.771305, 37.538322]",37.538322,55.771305,B,50.0
1295,[' Особняк Сретенка улица 24/2'],https://www.arendator.ru/objects/7133-sretenka_ulica_242/,torg_office_cntr,"['г. Москва, ЦАО, Красносельский, Сретенка улица 24/2']",1200.0,"[55.7697771, 37.6325841]",37.6325841,55.7697771,,50.0
1296,[' Бизнес-парк Taller Loft'],https://www.arendator.ru/objects/49829-taller_loft/,torg_office_cntr,"['г. Москва, ЮАО, Даниловский, Жуков проезд 8с1']",41864.0,"[55.7220677, 37.6459986]",37.6459986,55.7220677,A,50.0
1297,[' БЦ Технопарк'],https://www.arendator.ru/objects/9297-tehnopark-1/,torg_office_cntr,"['г. Москва, СВАО, Алексеевский, Мира проспект 119 стр.537/1']",,"[55.7900145, 37.6343802]",37.6343802,55.7900145,B,50.0
