,name,link,status,adress,square,coords,longitude,latitude,rating,Класс:
272,ТорговыйцентрАлександрЛэнд,https://roomfi.ru/torgovye-tsentry/51216-torgovyy-tsentr-aleksandr-lend/,torg_cntr,"Москва, улица Пришвина, 22",12000.0,"[55.8857459, 37.60207]",37.60207,55.8857459,50.0,Not_defined
273,Торгово-развлекательныйцентрСпортEX,https://roomfi.ru/torgovye-tsentry/51230-torgovo-razvlekatelnyy-tsentr-sportex/,torg_cntr,"Москва, 5-я Кабельная улица, 2с1",30000.0,"[55.738232, 37.7156813]",37.7156813,55.738232,50.0,Not_defined
274,Торгово-развлекательныйцентрВесна!,https://roomfi.ru/torgovye-tsentry/51586-torgovo-razvlekatelnyy-tsentr-vesna/,torg_cntr,"Москва, МКАД, 84-й километр",129000.0,"[55.911037, 37.579491]",37.579491,55.911037,50.0,Not_defined
275,ТорговыйцентрХаной-Москва,https://roomfi.ru/torgovye-tsentry/51142-torgovyy-tsentr-khanoy-moskva/,torg_cntr,"Москва, Россия",39750.0,"[55.755826, 37.6172999]",37.6172999,55.755826,50.0,Not_defined
276,Торгово-развлекательныйцентрПрага,https://roomfi.ru/torgovye-tsentry/51605-torgovo-razvlekatelnyy-tsentr-praga/,torg_cntr,"Москва, Россошанский проезд, 3",13600.0,"[55.5951411, 37.6074142]",37.6074142,55.5951411,50.0,Not_defined
277,Торгово-развлекательныйцентрФестиваль,https://roomfi.ru/torgovye-tsentry/51333-torgovo-razvlekatelnyy-tsentr-festival/,torg_cntr,"Москва, Мичуринский проспект, улица Олимпийская Деревня, 3к1",63500.0,"[55.6781022, 37.4664313]",37.4664313,55.6781022,50.0,Not_defined
278,ТорговыйцентрАзимут,https://roomfi.ru/torgovye-tsentry/51288-torgovyy-tsentr-azimut/,torg_cntr,"Москва, Огородный проезд, 9Ас1",7500.0,"[55.8140383, 37.6015439]",37.6015439,55.8140383,50.0,Not_defined
279,ТорговыйцентрМодыТаганка,https://roomfi.ru/torgovye-tsentry/51225-torgovyy-tsentr-mody-taganka/,torg_cntr,"Москва, Таганская улица, 2",5000.0,"[55.740747, 37.657721]",37.657721,55.740747,50.0,Not_defined
280,Торгово-развлекательныйцентрМолодаяГвардия,https://roomfi.ru/torgovye-tsentry/50975-torgovo-razvlekatelnyy-tsentr-molodaya-gvardiya/,torg_cntr,"Москва, Сущёвская улица, 21",18404.0,"[55.782442, 37.6012599]",37.6012599,55.782442,50.0,Not_defined
281,СпециализированныйторговыйцентрТвойдом,https://roomfi.ru/torgovye-tsentry/51090-spetsializirovannyy-torgovyy-tsentr-tvoy-dom/,torg_cntr,"Москва, МКАД, 24-й километр",66000.0,"[55.5887341, 37.7223914]",37.7223914,55.5887341,50.0,Not_defined
282,ТорговыйцентрДубровка,https://roomfi.ru/torgovye-tsentry/51321-torgovyy-tsentr-dubrovka/,torg_cntr,"Москва, Россия",180000.0,"[55.755826, 37.6172999]",37.6172999,55.755826,50.0,Not_defined
283,ТорговыйцентрЯлюбимый,https://roomfi.ru/torgovye-tsentry/51077-torgovyy-tsentr-ya-lyubimyy/,torg_cntr,"Москва, улица Введенского, 13Б",2354.0,"[55.642241, 37.5422671]",37.5422671,55.642241,50.0,Not_defined
284,ТорговыйцентрАреалАлтуфьево,https://roomfi.ru/torgovye-tsentry/51270-torgovyy-tsentr-areal-altufevo/,torg_cntr,"Москва, Алтуфьевское шоссе, 86к1",5200.0,"[55.897697, 37.5882649]",37.5882649,55.897697,50.0,Not_defined
285,МногофункциональныйкомплексКунцевоПлаза,https://roomfi.ru/torgovye-tsentry/51621-mnogofunktsionalnyy-kompleks-kuntsevo-plaza/,torg_cntr,"Москва, Ярцевская улица, 19",245000.0,"[55.7384966, 37.4107393]",37.4107393,55.7384966,50.0,Not_defined
286,Бизнес-паркСтанколит,https://roomfi.ru/torgovye-tsentry/50950-biznes-park-stankolit/,torg_cntr,"Москва, Складочная улица, 1с18",60000.0,"[55.8029935, 37.5934982]",37.5934982,55.8029935,50.0,Not_defined
287,Торгово-развлекательныйцентрКапитолий,https://roomfi.ru/torgovye-tsentry/51224-torgovo-razvlekatelnyy-tsentr-kapitoliy/,torg_cntr,"Москва, Шереметьевская улица, 20",32700.0,"[55.8031943, 37.6187845]",37.6187845,55.8031943,50.0,Not_defined
288,ТорговыйцентрНовоарбатский,https://roomfi.ru/torgovye-tsentry/50967-torgovyy-tsentr-novoarbatskiy/,torg_cntr,"Москва, улица Новый Арбат, 11с1",11536.0,"[55.75198, 37.595658]",37.595658,55.75198,50.0,Not_defined
289,ТорговыйцентрКониАйленд,https://roomfi.ru/torgovye-tsentry/51554-torgovyy-tsentr-koni-aylend/,torg_cntr,"Москва, Профсоюзная улица, 109к2",7200.0,"[55.633356, 37.5207837]",37.5207837,55.633356,50.0,Not_defined
290,ТорговыйцентрПодсолнухи,https://roomfi.ru/torgovye-tsentry/51330-torgovyy-tsentr-podsolnukhi/,torg_cntr,"Москва, Открытое шоссе, 9",20000.0,"[55.815471, 37.7379431]",37.7379431,55.815471,50.0,Not_defined
291,ТорговыйцентрАбрамцево,https://roomfi.ru/torgovye-tsentry/51099-torgovyy-tsentr-abramtsevo/,torg_cntr,"Москва, МКАД, 103-й километр",320000.0,"[55.8271889, 37.8320408]",37.8320408,55.8271889,50.0,Not_defined
292,ТорговыйцентрОливье,https://roomfi.ru/torgovye-tsentry/51111-torgovyy-tsentr-olive/,torg_cntr,"Москва, улица Сущёвский Вал, 31",9087.0,"[55.7936041, 37.604164]",37.604164,55.7936041,50.0,Not_defined
293,МногофункциональныйкомплексСolumbus,https://roomfi.ru/torgovye-tsentry/51350-mnogofunktsionalnyy-kompleks-solumbus/,torg_cntr,"Москва, Варшавское шоссе, 140",277403.0,"[55.6116064, 37.6082918]",37.6082918,55.6116064,50.0,Not_defined
294,МногофункциональныйкомплексМетрополис,https://roomfi.ru/torgovye-tsentry/51003-mnogofunktsionalnyy-kompleks-metropolis/,torg_cntr,"Москва, Ленинградское шоссе, 16Ас4",270855.0,"[55.8224849, 37.4967549]",37.4967549,55.8224849,50.0,Not_defined
295,ДетскийторговыйцентрУлей,https://roomfi.ru/torgovye-tsentry/51060-detskiy-torgovyy-tsentr-uley/,torg_cntr,"Москва, Алтуфьевское шоссе, 24к1",10000.0,"[55.8485542, 37.583099]",37.583099,55.8485542,50.0,Not_defined
296,ТорговыйцентрСеребряныйдом,https://roomfi.ru/torgovye-tsentry/51552-torgovyy-tsentr-serebryanyy-dom/,torg_cntr,"Москва, Большая Семёновская улица, 16",16500.0,"[55.7820249, 37.7042155]",37.7042155,55.7820249,50.0,Not_defined
297,ТорговыйцентрКрылатский,https://roomfi.ru/torgovye-tsentry/51106-torgovyy-tsentr-krylatskiy/,torg_cntr,"Москва, Осенний бульвар, 12",15000.0,"[55.75925119999999, 37.409168]",37.409168,55.75925119999999,50.0,Not_defined
298,Торгово-развлекательныйцентрГалеон,https://roomfi.ru/torgovye-tsentry/51594-torgovo-razvlekatelnyy-tsentr-galeon/,torg_cntr,"Москва, Ленинский проспект, 123",28800.0,"[55.6467313, 37.4790694]",37.4790694,55.6467313,50.0,Not_defined
299,ТорговыйцентрКожевники,https://roomfi.ru/torgovye-tsentry/51457-torgovyy-tsentr-kozhevniki/,torg_cntr,"Москва, Кожевническая улица, 7с1",20000.0,"[55.72986, 37.6456279]",37.6456279,55.72986,50.0,Not_defined
300,Торгово-развлекательныйцентрVegasCity(ВегасСити),https://roomfi.ru/torgovye-tsentry/51186-torgovo-razvlekatelnyy-tsentr-vegas-city/,torg_cntr,"Москва, МКАД, 24-й километр",295000.0,"[55.5887341, 37.7223914]",37.7223914,55.5887341,50.0,Not_defined
301,Торгово-офисныйцентрТаганскийпассаж,https://roomfi.ru/torgovye-tsentry/51319-torgovo-ofisnyy-tsentr-taganskiy-passazh/,torg_cntr,"Москва, Таганская улица, 3",12300.0,"[55.7412772, 37.6584558]",37.6584558,55.7412772,50.0,Not_defined
302,ТорговыйцентрЭлектронныйРай,https://roomfi.ru/torgovye-tsentry/51153-torgovyy-tsentr-elektronnyy-ray/,torg_cntr,"Москва, Кировоградская улица, 15",40000.0,"[55.6094811, 37.606051]",37.606051,55.6094811,50.0,Not_defined
303,ТорговыйцентрК-24,https://roomfi.ru/torgovye-tsentry/51582-torgovyy-tsentr-k-24/,torg_cntr,"Москва, Комсомольский проспект, 24с1",7500.0,"[55.728058, 37.5803641]",37.5803641,55.728058,50.0,Not_defined
304,Торгово-развлекательныйцентрБелореченский,https://roomfi.ru/torgovye-tsentry/51167-torgovo-razvlekatelnyy-tsentr-belorechenskiy/,torg_cntr,"Москва, Белореченская улица, 36к3",1500.0,"[55.661199, 37.7754157]",37.7754157,55.661199,50.0,Not_defined
